ANNEE;DIPLOME_4CATEG;TR_AG3;WEB_3MOIS;QUOTIDIEN;MOBILE
2011;4_ETUDE_SUP;ENSEMBLE;95.2;84.4;49.2
2011;ENSEMBLE;1_TR_AGE_15-44;91.0;75.6;45.1
2011;ENSEMBLE;2_TR_AGE_45-59;75.9;56.2;21.1
2011;ENSEMBLE;3_TR_AGE_60;36.3;25.9;7.7
2011;ENSEMBLE;ENSEMBLE;71.4;56.5;28.4
2012;1_CEP_AUCUN;1_TR_AGE_15-44;80.3;55.0;41.9
2012;1_CEP_AUCUN;2_TR_AGE_45-59;60.2;37.8;16.6
2012;1_CEP_AUCUN;3_TR_AGE_60;18.0;10.9;3.3
2012;1_CEP_AUCUN;ENSEMBLE;43.1;28.1;16.2
2012;2_BEP_CAP_BEPC;1_TR_AGE_15-44;94.8;74.9;59.9
2012;2_BEP_CAP_BEPC;2_TR_AGE_45-59;81.6;57.6;28.0
2012;2_BEP_CAP_BEPC;3_TR_AGE_60;48.0;33.9;11.5
2012;2_BEP_CAP_BEPC;ENSEMBLE;79.2;59.7;38.7
2012;3_BAC;1_TR_AGE_15-44;97.3;83.3;63.2
2012;3_BAC;2_TR_AGE_45-59;92.6;73.9;38.9
2012;3_BAC;3_TR_AGE_60;67.9;51.9;21.3
2012;3_BAC;ENSEMBLE;91.4;75.9;50.7
2012;4_ETUDE_SUP;1_TR_AGE_15-44;99.2;91.0;70.9
2012;4_ETUDE_SUP;2_TR_AGE_45-59;98.6;88.3;56.5
2012;4_ETUDE_SUP;3_TR_AGE_60;84.1;69.1;37.5
2012;4_ETUDE_SUP;ENSEMBLE;96.6;86.8;62.1
2012;ENSEMBLE;1_TR_AGE_15-44;94.3;78.3;60.9
2012;ENSEMBLE;2_TR_AGE_45-59;81.6;61.8;33.0
2012;ENSEMBLE;3_TR_AGE_60;39.0;28.2;11.5
2012;ENSEMBLE;ENSEMBLE;74.7;59.3;39.5
2013;1_CEP_AUCUN;1_TR_AGE_15-44;80.0;59.6;50.6
2013;1_CEP_AUCUN;2_TR_AGE_45-59;59.6;36.4;24.2
2013;1_CEP_AUCUN;3_TR_AGE_60;21.5;12.7;5.9
2013;1_CEP_AUCUN;ENSEMBLE;44.3;29.5;21.1
2013;2_BEP_CAP_BEPC;1_TR_AGE_15-44;93.9;74.2;65.4
2013;2_BEP_CAP_BEPC;2_TR_AGE_45-59;80.9;57.6;34.6
2013;2_BEP_CAP_BEPC;3_TR_AGE_60;52.1;37.9;17.1
2013;2_BEP_CAP_BEPC;ENSEMBLE;78.7;59.6;43.6
2013;3_BAC;1_TR_AGE_15-44;96.7;85.0;72.3
2013;3_BAC;2_TR_AGE_45-59;94.3;74.4;44.8
2013;3_BAC;3_TR_AGE_60;68.4;53.7;30.2
2013;3_BAC;ENSEMBLE;91.5;77.7;59.7
2013;4_ETUDE_SUP;1_TR_AGE_15-44;99.0;91.8;79.3
2013;4_ETUDE_SUP;2_TR_AGE_45-59;97.9;86.6;66.0
2013;4_ETUDE_SUP;3_TR_AGE_60;78.0;64.4;45.4
2013;4_ETUDE_SUP;ENSEMBLE;95.4;86.2;70.7
2013;ENSEMBLE;1_TR_AGE_15-44;94.0;80.0;69.1
2013;ENSEMBLE;2_TR_AGE_45-59;81.7;61.8;41.1
2013;ENSEMBLE;3_TR_AGE_60;41.8;30.3;16.4
2013;ENSEMBLE;ENSEMBLE;75.3;60.7;46.5
2014;1_CEP_AUCUN;1_TR_AGE_15-44;81.6;59.0;58.8
2014;1_CEP_AUCUN;2_TR_AGE_45-59;61.0;40.4;26.1
2014;1_CEP_AUCUN;3_TR_AGE_60;23.4;14.5;6.9
2014;1_CEP_AUCUN;ENSEMBLE;45.7;30.9;23.8
2014;2_BEP_CAP_BEPC;1_TR_AGE_15-44;94.7;77.2;74.7
2014;2_BEP_CAP_BEPC;2_TR_AGE_45-59;81.4;55.2;43.1
2014;2_BEP_CAP_BEPC;3_TR_AGE_60;55.7;39.8;21.5
2014;2_BEP_CAP_BEPC;ENSEMBLE;80.1;60.5;50.8
2014;3_BAC;1_TR_AGE_15-44;97.5;82.9;81.6
2014;3_BAC;2_TR_AGE_45-59;92.6;74.7;58.0
2014;3_BAC;3_TR_AGE_60;74.4;56.3;38.2
2014;3_BAC;ENSEMBLE;92.5;76.6;69.3
2014;4_ETUDE_SUP;1_TR_AGE_15-44;99.4;93.0;86.8
2014;4_ETUDE_SUP;2_TR_AGE_45-59;98.2;86.6;68.5
2014;4_ETUDE_SUP;3_TR_AGE_60;86.7;74.0;53.9
2014;4_ETUDE_SUP;ENSEMBLE;96.8;88.1;76.7
2014;ENSEMBLE;1_TR_AGE_15-44;95.0;81.0;78.0
2014;ENSEMBLE;2_TR_AGE_45-59;82.3;62.1;47.4
2014;ENSEMBLE;3_TR_AGE_60;46.9;34.6;21.1
2014;ENSEMBLE;ENSEMBLE;77.3;62.4;53.4
2015;1_CEP_AUCUN;1_TR_AGE_15-44;82.8;57.8;60.6
2015;1_CEP_AUCUN;2_TR_AGE_45-59;68.0;40.3;30.5
2015;1_CEP_AUCUN;3_TR_AGE_60;22.8;13.0;8.3
2015;1_CEP_AUCUN;ENSEMBLE;46.0;29.1;25.2
2015;2_BEP_CAP_BEPC;1_TR_AGE_15-44;94.2;75.5;79.0
2015;2_BEP_CAP_BEPC;2_TR_AGE_45-59;86.1;61.8;46.5
2015;2_BEP_CAP_BEPC;3_TR_AGE_60;54.8;37.3;22.5
2015;2_BEP_CAP_BEPC;ENSEMBLE;80.0;60.1;52.8
2015;3_BAC;1_TR_AGE_15-44;97.8;86.0;84.8
2015;3_BAC;2_TR_AGE_45-59;93.2;70.8;59.5
2015;3_BAC;3_TR_AGE_60;75.3;57.4;40.2
2015;3_BAC;ENSEMBLE;93.0;78.0;72.0
2015;4_ETUDE_SUP;1_TR_AGE_15-44;98.8;90.1;87.7
2015;4_ETUDE_SUP;2_TR_AGE_45-59;97.0;84.7;74.0
2015;4_ETUDE_SUP;3_TR_AGE_60;86.8;70.4;51.5
2015;4_ETUDE_SUP;ENSEMBLE;96.2;85.2;77.8
2015;ENSEMBLE;1_TR_AGE_15-44;95.1;80.5;80.8
2015;ENSEMBLE;2_TR_AGE_45-59;86.4;64.9;52.5
2015;ENSEMBLE;3_TR_AGE_60;47.1;33.3;22.2
2015;ENSEMBLE;ENSEMBLE;78.0;62.1;55.8
2016;1_CEP_AUCUN;1_TR_AGE_15-44;86.5;67.9;61.6
2016;1_CEP_AUCUN;2_TR_AGE_45-59;65.3;39.7;32.3
2016;1_CEP_AUCUN;3_TR_AGE_60;25.6;13.6;7.5
2016;1_CEP_AUCUN;ENSEMBLE;47.8;31.5;25.1
2016;2_BEP_CAP_BEPC;1_TR_AGE_15-44;95.4;81.6;77.3
2016;2_BEP_CAP_BEPC;2_TR_AGE_45-59;85.3;59.2;43.8
2016;2_BEP_CAP_BEPC;3_TR_AGE_60;59.7;38.8;22.4
2016;2_BEP_CAP_BEPC;ENSEMBLE;81.3;61.9;50.8
2016;3_BAC;1_TR_AGE_15-44;97.6;89.2;81.3
2016;3_BAC;2_TR_AGE_45-59;92.1;75.6;61.2
2016;3_BAC;3_TR_AGE_60;73.5;57.1;36.3
2016;3_BAC;ENSEMBLE;92.6;81.2;69.8
2016;4_ETUDE_SUP;1_TR_AGE_15-44;98.7;92.1;87.8
2016;4_ETUDE_SUP;2_TR_AGE_45-59;97.8;84.9;73.2
2016;4_ETUDE_SUP;3_TR_AGE_60;89.9;72.6;53.7
2016;4_ETUDE_SUP;ENSEMBLE;96.8;86.7;77.8
2016;ENSEMBLE;1_TR_AGE_15-44;95.9;85.3;79.8
2016;ENSEMBLE;2_TR_AGE_45-59;85.8;65.0;52.4
2016;ENSEMBLE;3_TR_AGE_60;50.8;34.8;22.1
2016;ENSEMBLE;ENSEMBLE;79.3;64.5;55.1
2017;1_CEP_AUCUN;1_TR_AGE_15-44;85.4;62.4;66.3
2017;1_CEP_AUCUN;2_TR_AGE_45-59;68.6;42.5;44.1
2017;1_CEP_AUCUN;3_TR_AGE_60;29.1;16.3;12.1
2017;1_CEP_AUCUN;ENSEMBLE;50.2;32.5;31.3
2017;2_BEP_CAP_BEPC;1_TR_AGE_15-44;95.4;78.9;83.5
2017;2_BEP_CAP_BEPC;2_TR_AGE_45-59;88.9;63.5;59.6
2017;2_BEP_CAP_BEPC;3_TR_AGE_60;59.6;40.9;28.9
2017;2_BEP_CAP_BEPC;ENSEMBLE;81.8;62.1;58.9
2017;3_BAC;1_TR_AGE_15-44;98.6;85.4;89.3
2017;3_BAC;2_TR_AGE_45-59;97.3;80.1;72.9
2017;3_BAC;3_TR_AGE_60;75.9;55.3;43.9
2017;3_BAC;ENSEMBLE;94.6;79.4;78.5
2017;4_ETUDE_SUP;1_TR_AGE_15-44;99.0;92.4;92.7
2017;4_ETUDE_SUP;2_TR_AGE_45-59;97.2;85.6;80.5
2017;4_ETUDE_SUP;3_TR_AGE_60;86.4;70.4;58.0
2017;4_ETUDE_SUP;ENSEMBLE;96.1;86.4;82.9
2017;ENSEMBLE;1_TR_AGE_15-44;96.1;83.0;85.8
2017;ENSEMBLE;2_TR_AGE_45-59;88.9;68.7;64.9
2017;ENSEMBLE;3_TR_AGE_60;52.6;36.7;28.0
2017;ENSEMBLE;ENSEMBLE;80.5;64.8;62.4
2018;1_CEP_AUCUN;1_TR_AGE_15-44;91.6;78.6;78.6
2018;1_CEP_AUCUN;2_TR_AGE_45-59;74.6;52.8;53.6
2018;1_CEP_AUCUN;3_TR_AGE_60;33.0;18.3;18.4
2018;1_CEP_AUCUN;ENSEMBLE;55.0;39.5;39.7
2018;2_BEP_CAP_BEPC;1_TR_AGE_15-44;95.7;86.4;88.5
2018;2_BEP_CAP_BEPC;2_TR_AGE_45-59;88.3;64.5;66.7
2018;2_BEP_CAP_BEPC;3_TR_AGE_60;64.3;41.4;35.9
2018;2_BEP_CAP_BEPC;ENSEMBLE;83.3;65.6;65.2
2018;3_BAC;1_TR_AGE_15-44;97.8;91.6;90.0
2018;3_BAC;2_TR_AGE_45-59;94.3;77.1;75.9
2018;3_BAC;3_TR_AGE_60;79.8;59.7;52.8
2018;3_BAC;ENSEMBLE;93.7;82.6;80.1
2018;4_ETUDE_SUP;1_TR_AGE_15-44;98.0;95.7;94.3
2018;4_ETUDE_SUP;2_TR_AGE_45-59;97.2;88.3;84.7
2018;4_ETUDE_SUP;3_TR_AGE_60;88.0;76.6;66.7
2018;4_ETUDE_SUP;ENSEMBLE;95.8;89.9;86.2
2018;ENSEMBLE;1_TR_AGE_15-44;96.5;89.8;89.6
2018;ENSEMBLE;2_TR_AGE_45-59;89.5;71.7;71.3
2018;ENSEMBLE;3_TR_AGE_60;57.2;40.0;35.8
2018;ENSEMBLE;ENSEMBLE;82.0;69.3;67.8
2019;1_CEP_AUCUN;1_TR_AGE_15-44;88.9;75.5;84.0
2019;1_CEP_AUCUN;2_TR_AGE_45-59;77.1;53.0;65.8
2019;1_CEP_AUCUN;3_TR_AGE_60;35.5;20.7;25.2
2019;1_CEP_AUCUN;ENSEMBLE;56.6;40.3;47.4
2019;2_BEP_CAP_BEPC;1_TR_AGE_15-44;96.3;90.0;93.5
2019;2_BEP_CAP_BEPC;2_TR_AGE_45-59;88.3;69.0;76.0
2019;2_BEP_CAP_BEPC;3_TR_AGE_60;67.1;46.2;48.3
2019;2_BEP_CAP_BEPC;ENSEMBLE;84.0;69.3;73.1
2019;3_BAC;1_TR_AGE_15-44;98.4;92.2;95.1
2019;3_BAC;2_TR_AGE_45-59;95.7;80.6;84.4
2019;3_BAC;3_TR_AGE_60;79.1;60.9;63.4
2019;3_BAC;ENSEMBLE;94.5;84.2;87.3
2019;4_ETUDE_SUP;1_TR_AGE_15-44;98.7;94.7;96.7
2019;4_ETUDE_SUP;2_TR_AGE_45-59;97.1;88.9;89.3
2019;4_ETUDE_SUP;3_TR_AGE_60;89.7;77.4;76.1
2019;4_ETUDE_SUP;ENSEMBLE;96.5;89.7;90.6
2019;ENSEMBLE;1_TR_AGE_15-44;96.7;90.4;93.8
2019;ENSEMBLE;2_TR_AGE_45-59;90.4;74.6;79.9
2019;ENSEMBLE;3_TR_AGE_60;59.9;43.2;45.6
2019;ENSEMBLE;ENSEMBLE;83.3;71.4;75.0
