ANNEE;SEX;TR_AG3;EGOV_12MOIS
2015;2_FEMME;3_TR_AGE_60;24.2
2015;2_FEMME;ENSEMBLE;55.2
2015;ENSEMBLE;1_TR_AGE_15-44;72.7
2015;ENSEMBLE;2_TR_AGE_45-59;63.0
2015;ENSEMBLE;3_TR_AGE_60;28.8
2015;ENSEMBLE;ENSEMBLE;56.6
2016;1_HOMME;1_TR_AGE_15-44;70.8
2016;1_HOMME;2_TR_AGE_45-59;64.8
2016;1_HOMME;3_TR_AGE_60;36.8
2016;1_HOMME;ENSEMBLE;59.2
2016;2_FEMME;1_TR_AGE_15-44;79.6
2016;2_FEMME;2_TR_AGE_45-59;66.4
2016;2_FEMME;3_TR_AGE_60;28.7
2016;2_FEMME;ENSEMBLE;59.6
2016;ENSEMBLE;1_TR_AGE_15-44;75.3
2016;ENSEMBLE;2_TR_AGE_45-59;65.7
2016;ENSEMBLE;3_TR_AGE_60;32.4
2016;ENSEMBLE;ENSEMBLE;59.4
2017;1_HOMME;1_TR_AGE_15-44;71.2
2017;1_HOMME;2_TR_AGE_45-59;67.0
2017;1_HOMME;3_TR_AGE_60;40.6
2017;1_HOMME;ENSEMBLE;61.1
2017;2_FEMME;1_TR_AGE_15-44;79.9
2017;2_FEMME;2_TR_AGE_45-59;72.9
2017;2_FEMME;3_TR_AGE_60;31.4
2017;2_FEMME;ENSEMBLE;61.7
2017;ENSEMBLE;1_TR_AGE_15-44;75.6
2017;ENSEMBLE;2_TR_AGE_45-59;70.0
2017;ENSEMBLE;3_TR_AGE_60;35.5
2017;ENSEMBLE;ENSEMBLE;61.4
2018;1_HOMME;1_TR_AGE_15-44;76.2
2018;1_HOMME;2_TR_AGE_45-59;71.9
2018;1_HOMME;3_TR_AGE_60;46.2
2018;1_HOMME;ENSEMBLE;65.9
2018;2_FEMME;1_TR_AGE_15-44;79.8
2018;2_FEMME;2_TR_AGE_45-59;74.3
2018;2_FEMME;3_TR_AGE_60;35.8
2018;2_FEMME;ENSEMBLE;63.5
2018;ENSEMBLE;1_TR_AGE_15-44;78.0
2018;ENSEMBLE;2_TR_AGE_45-59;73.2
2018;ENSEMBLE;3_TR_AGE_60;40.5
2018;ENSEMBLE;ENSEMBLE;64.6
2019;1_HOMME;1_TR_AGE_15-44;75.3
2019;1_HOMME;2_TR_AGE_45-59;75.4
2019;1_HOMME;3_TR_AGE_60;49.8
2019;1_HOMME;ENSEMBLE;67.5
2019;2_FEMME;1_TR_AGE_15-44;82.7
2019;2_FEMME;2_TR_AGE_45-59;80.7
2019;2_FEMME;3_TR_AGE_60;41.7
2019;2_FEMME;ENSEMBLE;68.3
2019;ENSEMBLE;1_TR_AGE_15-44;79.0
2019;ENSEMBLE;2_TR_AGE_45-59;78.2
2019;ENSEMBLE;3_TR_AGE_60;45.4
2019;ENSEMBLE;ENSEMBLE;67.9
